id,item_string,cost,artist,rarity,item_type,name,purchases,public
a784d51e-4091-4d82-9d55-7aa4189a45f8,viking_hat,200,Mr. Barnacles,1,0,Viking Helmet,2,true
a8be4d09-1bd1-4006-a02f-b630151df81d,nerd_face,200,Mr. Barnacles,1,0,Nerd,0,true
aa21740e-30f8-4790-ab17-38b1b26725ed,electric_guitar_red,500,caleb,3,2,Electric Guitar (Red),0,true
ae0a43ce-cbc8-4231-8f51-0aec0d13333c,jampad_shirt,100,caleb,0,1,I <3 JamPad Shirt,23,true
aeff8910-d9bd-4150-b0d0-79b530ad97fb,blue_tie,100,caleb,0,1,Blue Tie,1,true
b03dc07a-f0e2-4246-8785-ad81f8e450a1,purple_skeleton,1000,Mr. Barnacles,4,0,Purple Skeleton,0,true
b0549e25-aaad-45c8-b6bd-5d711de4eca2,bow_tie,100,Mr. Barnacles,0,1,Bow Tie,1,true
b126dc2d-a019-4d5c-8383-42185f62e845,basketball_jersey,1000,caleb,4,1,Jersey,1,true
b17a0cd5-284d-4bb1-8b8a-1ac4f4b2ce83,moon,300,Mr. Barnacles,2,3,In Space,0,true
b2c2690c-765c-4d3b-aff2-1cca228a9688,pierrot_hat,300,Kendall O.,2,0,Pierrot Hat,0,true
b5cfb216-f330-452c-9e32-d935870f6b6e,lucky,100,Kendall O.,0,1,Lucky Frog,0,true
c276d3e6-f4c4-45b5-b5c6-7ef343856f82,star_glasses,100,caleb,0,0,Star Glasses,0,true
c4b9b40d-7937-4f21-94bf-17b533c74e75,microphone_stand,100,caleb,0,2,Mic Stand,3,true
c528d910-daff-40b5-b7d9-9926b99b742d,brick_wall,200,caleb,1,3,Brick Wall,0,true
c97a9df4-70b1-472c-9cb7-672f703dfe35,3d_glasses,100,caleb,0,0,3D Glasses,0,true
d23ff6f4-fa01-43e1-ad4b-58067f9edaf0,bobcat_press_bg,200,caleb,1,3,Bobcat Background,0,true
d523b324-251c-416f-be39-2c17fe605c69,pumpkin_head,500,Mr. Barnacles,3,0,Pumpkin Head,1,true
d60c4342-ddcf-4951-a240-9bfc45d21c05,fishnet_and_boots,300,Kendall O.,2,1,Fishnet and Boots,0,true
d9522eff-15f0-497d-bf43-ba466ebb14b0,keyboard,500,caleb,3,2,Keyboard,0,true
dc6eb6bf-6819-4d4d-9779-c7294f49e391,earbud_phone,300,caleb,2,2,Earbuds,1,true
df4897a6-7736-4933-b009-867eb1cec7a7,frog_shirt,200,caleb,1,1,Frog Shirt,1,true
e17457c1-371b-4ab6-b27c-838d90a48b0d,flower_head,100,caleb,0,0,Flower Head,0,true
e6a5259e-25c4-43ee-b870-05385c19715b,electric_guitar_green,500,caleb,3,2,Electric Guitar (Green),1,true
e8367782-c30b-4597-ac7a-d91c6811286d,jampad_docs,500,caleb,3,2,JamPad Docs,2,false
ecfa0464-b445-4c4e-ae80-5d2d35d948e3,electric_guitar_blue,500,caleb,3,2,Electric Guitar (Blue),1,true
eff07a9b-3f20-469b-91f0-96cc7a89b3e9,headphones,100,caleb,0,0,Headphones,1,true
f4596eba-b6e8-4198-9059-820d46bd65b5,jacket_thing,300,caleb,2,1,Blue Jacket,0,true
f666750f-2110-4ec9-9324-28b7c8d2e60a,grad_cap,200,caleb,1,0,Grad Cap,0,true
f704a7a1-d056-496a-8517-1a43c301eb89,spike_choker,300,Kendall O.,2,2,Spike Choker,1,true
f7af73f3-ece8-44f2-ad92-2214ca338d1d,fedora,100,Mr. Barnacles,0,0,Fedora,0,true
fb4856b3-1cc8-4f02-b861-f81895df87e2,jester_hat,300,caleb,2,0,Jester,0,true
